text,label
"The cat sat on the mat. The dog was big and brown. They played in the sun.",Easy
"Sam likes to play. He has a red ball. He throws the ball far.",Easy
"It is a nice day. The sky is blue. I want to go to the park.",Easy
"We have a small garden. Mom grows flowers. The flowers are red and yellow.",Easy
"My name is Ben. I have a brother. His name is Leo. We play games together.",Easy
"The bird can fly high. It sings a sweet song. I like to watch the bird.",Easy
"Reading is a good habit. It helps us learn new things. Books are our friends. We can read stories about many places.",Moderate
"The solar system has eight planets. Earth is the third planet from the sun. Mars is red. Jupiter is the largest planet.",Moderate
"Monkeys are smart animals. They live in jungles. They love to eat bananas. Monkeys can climb trees very well.",Moderate
"Water is very important for life. We need to drink water every day. We also use water to wash and to cook our food.",Moderate
"History is the study of the past. We learn about old events and famous people. This helps us understand the world today.",Moderate
"Oceans are very large bodies of salt water. They cover more than 70 percent of the Earth. Many fish live in the ocean.",Moderate
"Photosynthesis is the process where plants use sunlight, water, and carbon dioxide to create their own food and release oxygen into the air.",Difficult
"The industrial revolution was a period of major technological, socioeconomic, and cultural change in the late 18th and early 19th centuries.",Difficult
"Quantum mechanics is a fundamental theory in physics that provides a description of the physical properties of nature at the scale of atoms and subatomic particles.",Difficult
"Cellular respiration is a complex set of metabolic reactions. It converts biochemical energy from nutrients into adenosine triphosphate (ATP), and then releases waste products.",Difficult
"The separation of powers is a constitutional principle. It divides the functions of government into three branches: legislative, executive, and judicial, to prevent any one branch from becoming too powerful.",Difficult
"Neuroplasticity refers to the brain's ability to reorganize itself by forming new neural connections throughout life. This allows the neurons in the brain to compensate for injury and disease.",Difficult
